,,,,,,,,
Student Number,Proficiency Exam Score,Course Grade,,X,Y,X^2,Y^2,XY
1,60,70,,60,70,3600,4900,4200
2,90,95,,90,95,8100,9025,8550
3,70,70,,70,70,4900,4900,4900
4,85,75,,85,75,7225,5625,6375
5,80,90,,80,90,6400,8100,7200
6,65,75,,65,75,4225,5625,4875
7,75,75,,75,75,5625,5625,5625
8,60,60,,60,60,3600,3600,3600
9,75,80,,75,80,5625,6400,6000
10,70,65,,70,65,4900,4225,4550
,730,755,,730,755,54200,58025,55875
,,,,,,,,
,,,,,,,,
,,,,,,,,
A = 0.8351648352,0.8351648352,14.53296703,,,,,,
B = 14.53296703,0.2307937585,16.99118635,,,,,,
y = 0.84 + 14.53x,0.6207582149,6.962172122,,,,,,
r= 0.7879,13.09472193,8,,,,,,
,634.7252747,387.7747253,,,,,,
